tilt_limit_deg,targets,planned_success,sim_success,success_rate_percent,mean_success_error_mm,max_success_error_mm,max_success_tilt_deg,max_observed_tilt_deg,median_rms_accel_rad_s2
5.0,100.0,96.0,95.0,95.0,4.555921153905036,13.141913375132832,4.034550308692863,10.38892208273145,2.4935387104606095
10.0,100.0,99.0,95.0,95.0,4.555921153905036,13.141913375132832,4.034550308692863,14.359292311634896,2.522963593595306
12.0,100.0,99.0,97.0,97.0,4.679190220549586,16.76670930155554,11.288049324154564,14.359292311634896,2.522963593595306
14.0,100.0,99.0,97.0,97.0,4.679190220549586,16.76670930155554,11.288049324154564,14.359292311634896,2.522963593595306
15.0,100.0,99.0,98.0,98.0,4.728941210725767,16.76670930155554,14.359292311634896,14.359292311634896,2.522963593595306
20.0,100.0,99.0,98.0,98.0,4.728941210725767,16.76670930155554,14.359292311634896,14.359292311634896,2.522963593595306
30.0,100.0,99.0,98.0,98.0,4.728941210725767,16.76670930155554,14.359292311634896,14.359292311634896,2.522963593595306
45.0,100.0,99.0,98.0,98.0,4.728941210725767,16.76670930155554,14.359292311634896,14.359292311634896,2.522963593595306
