method,target_id,target_x,target_y,target_z,reachable,planned_success,sim_success,final_error_m,planned_error_m,max_tilt_deg,planned_max_tilt_deg,path_length_m,joint_path_length_rad,mean_joint_step_rad,max_joint_step_rad,rms_joint_speed_rad_s,max_joint_speed_rad_s,rms_joint_accel_rad_s2,max_joint_accel_rad_s2,message
proposed,0,1.163854102370001,-0.11131059602498809,1.5585979199113824,True,True,True,0.00598543066148596,9.96633050360369e-07,0.9252064599582238,0.0004964912146840677,0.2594349814177059,0.3294368509271317,0.0074872011574348115,0.011206281054392772,0.2732236410405215,0.3735427018130924,0.6444343833177301,1.1616857422490838,ok
proposed,1,0.8931923924415376,-0.6554673166127,1.6756223516367559,True,True,True,0.005023972316658442,8.812031768855119e-07,1.3549633191067878,0.0046182753685170275,0.867882660128868,0.7668664004447242,0.017428781828289188,0.02528516140850266,0.6316568519330027,0.8428387136167554,1.6809085649976143,2.8508125397698207,ok
proposed,2,1.0454165609056933,0.5001806527056398,0.8281136326755458,True,True,True,0.0034047119109593318,1.1511179999053097e-06,1.4257787376644386,0.0229260974863537,0.9835307805036829,1.4034345303002862,0.03189623932500651,0.04528206808093573,1.1485543139892607,1.5094022693645244,3.0260672767756893,5.7615829785340775,ok
proposed,3,0.8918808657802574,-0.18223759809041115,1.6267649888486018,True,True,True,0.0038603266797563283,1.3644402579081638e-06,1.3228790632622156,0.004420146216479703,0.5598263038650678,0.6962350029138075,0.015823522793495623,0.023477356864085336,0.576194151188039,0.7825785621361779,1.4053461293462837,2.5552685452553705,ok
proposed,4,0.9329091444513473,0.5139082615586104,1.143414198827331,True,True,True,0.004786894751209915,1.4308632043836916e-06,0.7685340370037684,0.011028927493327689,0.8203573834634297,1.0969472603482848,0.02493061955337011,0.03735736636817997,0.9093316849930625,1.245245545605999,2.251197313765755,4.624385916415276,ok
proposed,5,0.7291395053574977,0.06223838342847525,0.7638172561041753,True,True,True,0.003115165827571935,3.6941668501911003e-06,0.6338148027739026,0.018751321791959527,1.020846931652301,1.754533618852199,0.039875764064822704,0.05870630636245942,1.4491913995595207,1.9568768787486475,3.4717495060509966,7.575766399232021,ok
proposed,6,1.186626735201665,0.24721523222599218,1.4580877400853738,True,True,True,0.0064510474289832765,1.011873709002471e-06,0.7945069416363195,0.0030098263883746334,0.34425222140085926,0.4195034206785389,0.009534168651784976,0.014311902386780834,0.3481466372537831,0.4770634128926945,0.8245725501866316,1.5521475789910235,ok
proposed,7,0.6188028765700346,0.5585755057582851,1.5931211213221976,True,True,True,0.0033986919391138224,1.4956484981158183e-06,1.6147200873301086,0.005132745575478293,0.9918101051414097,1.1480552300587408,0.026092164319516834,0.037808419974481186,0.9453090714828477,1.2602806658160397,2.5137563533231266,4.446291020550127,ok
proposed,8,1.0421473106672003,-0.5377454938395776,1.1667210037270341,True,True,True,0.005599044321402616,1.1846752240143847e-06,0.6723251729675689,0.011078928560638229,0.7716226818738516,0.9512804914276524,0.02162001116881028,0.0323583140972108,0.7882143226337868,1.078610469907027,1.9660289590405642,3.9690208836266807,ok
proposed,9,0.5020043806895556,-0.3004445512826424,1.3830489532424546,True,True,True,0.0038034540367930412,2.678053934686371e-06,1.5687512120708573,0.007332802704070945,0.9931311884292204,1.545528291865901,0.0351256429969523,0.04999967723425855,1.2678767027970559,1.6666559078086183,3.2926061076702675,5.80061934860933,ok
proposed,10,0.8543511494606293,0.7635208174585386,1.0258253581381518,True,True,True,0.004252917007158679,1.1256289955321475e-06,0.9985303633762707,0.01551460391624015,1.109415231204304,1.3261869521843521,0.030140612549644365,0.0441199749063991,1.0909920337258894,1.4706658302133035,2.9481826341077815,5.796825570220266,ok
proposed,11,0.845413419629878,-0.040181379387507245,0.8894713590842857,True,True,True,0.0035010868499729957,2.3578663600679408e-06,0.6225241452891669,0.016612663144569342,0.849515755521798,1.49130525899924,0.033893301340891815,0.05021874933145123,1.2336472114394879,1.6739583110483742,2.947292595189233,6.290373337662047,ok
proposed,12,0.6534675917073415,-0.02477849298380981,0.9269093490508841,True,True,True,0.00714196868456198,0.005193148124726737,4.034550308692863,2.69447758552194,1.0065166984542504,1.8905830701706647,0.04296779704933329,0.0568224559602895,1.5139103228527346,1.8940818653429834,8.364156657197945,40.406317407743565,ok
proposed,13,1.0806365399599578,-0.106289641105831,1.5326781960578373,True,True,True,0.005250613559423235,1.1863907382459484e-06,1.00007225436909,0.000986881828917203,0.3358691717967315,0.48413506439451365,0.011003069645329856,0.016429395689179747,0.40127074958256764,0.5476465229726583,0.9507908085925548,1.7415007064856658,ok
proposed,14,1.0629903130699898,-0.32034740587987487,1.5322598013952011,True,True,True,0.005332903706371938,1.1223001928151975e-06,1.0182600480453314,0.0010211154225008654,0.4757538160588547,0.5290152254044894,0.012023073304647486,0.017976723022453317,0.43862935154313215,0.5992241007484439,1.0548288479786803,1.9848573788465302,ok
proposed,15,1.1754667485376038,-0.20847970448428202,0.9883281039302441,True,True,True,0.00502044197798381,1.172051274788236e-06,0.9507979208645259,0.016588225428878736,0.6570471737761607,1.0409168718867945,0.023657201633790783,0.03477216914017616,0.8590271381622678,1.1590723046725389,2.1050494976536904,4.137925499676867,ok
