sample,x,y,z,desired_x,desired_y,desired_z,ik_error_mm
0,1.3590006293845258,2.7755568802602733e-17,1.5499999710445314,1.3590006293845258,2.7755568802602733e-17,1.5499999710445314,0.0
1,1.3586361880696751,-0.00013529733742114516,1.549118650898272,1.3586359013926053,-0.0001353058960832992,1.5491182492047972,0.0004935733387274584
2,1.3575651723531332,-0.0005328730822568756,1.5465285617676667,1.3575641622163463,-0.0005328970676512292,1.5465273434911166,0.0015827663693184324
3,1.3558207157209303,-0.001180245423606593,1.5423106172105485,1.3558190790550033,-0.0011802837396806857,1.542308643611773,0.0025642222222118584
4,1.353436536269593,-0.0020649250798048606,1.5365462091051647,1.3534343191078302,-0.0020649761371485933,1.5365435392750493,0.0034707932782386836
5,1.3504462970541324,-0.0031744224045353268,1.5293167225676956,1.3504435495740814,-0.0031744844850318745,1.529313420189229,0.0042963012180308475
6,1.3468836628193779,-0.004496247686245732,1.5207035449087363,1.346880437653011,-0.004496319008307452,1.5206996760625948,0.0050373361409229165
7,1.3427822998295438,-0.006017911153198646,1.5107880653573458,1.3427786505438735,-0.006017989931952252,1.51078369660343,0.0056929344605292035
8,1.3381758756317512,-0.007726922984672561,1.4996516747710145,1.3381718554459228,-0.007727007480943198,1.499646871520018,0.006264204167366238
9,1.3330980588040107,-0.009610793316172395,1.487375765317218,1.3330937195584132,-0.009610881880257213,1.4873705905206418,0.00675391853348703
10,1.327582518685824,-0.011657032253286959,1.4740417301386206,1.3275779100805989,-0.011657123354871221,1.4740362433135845,0.007166086142190246
11,1.3216629251387646,-0.013853149878074969,1.4597309630477553,1.321658094211734,-0.01385324212976214,1.4597252196071295,0.007505563041550999
12,1.3153729483342183,-0.016186656256834346,1.444524858257699,1.3153679391510729,-0.016186748429906903,1.4445189091095596,0.00777771015431072
13,1.3087462585796816,-0.018645061447493453,1.4285048101586628,1.3087411120978698,-0.01864515248028243,1.4284987015291581,0.007988110942738241
14,1.3018165261761248,-0.021215875506567203,1.4117522131311575,1.3018112802513788,-0.02121596450586564,1.4117459865742081,0.00814233742600445
15,1.2946174213355706,-0.02388660848891484,1.3943484614256878,1.2946121108108541,-0.023886694731633462,1.394342153952993,0.008245806350259666
16,1.28718261410348,-0.02664477045547623,1.3763749490538046,1.2871772709755498,-0.026644853382562818,1.376368593373796,0.008303647472797012
17,1.2795457743325604,-0.029477871471759377,1.3579130697347281,1.2795404279447204,-0.02947795068363063,1.3579066945448997,0.00832064797990601
18,1.2717405716607528,-0.0323734216135467,1.3390442168438705,1.2717352489176201,-0.03237349685981383,1.3390378471745876,0.008301201312525073
19,1.2638006755258533,-0.03531893096509783,1.3198497833979068,1.2637954010935029,-0.035319002136089336,1.3198434409711433,0.0082493078000802
20,1.2557597551740538,-0.03830190962442628,1.300411162033543,1.2557545516716229,-0.038301976737434074,1.300404865642849,0.008168566427184235
21,1.2476514797050733,-0.04130986770111854,1.280809745011838,1.2476463678512346,-0.04130993088882496,1.2808035108979885,0.008062209240884669
