target_id,region_cn,x,y,z,sim_success,max_tilt_deg
0,标准区,1.174992032690625,0.0939973113548712,0.9438881969534382,True,1.0432841951409653
1,标准区,0.7850773665983642,-0.22817115602658855,1.090154011165164,True,0.9089078794572353
2,标准区,0.9565012814709913,-0.7097061894295601,1.0736243927644642,True,0.8961501368871617
3,标准区,1.0880369678237969,0.46454552593912996,1.303975039380274,True,0.748092324916781
4,标准区,0.6390141414955137,-0.14198527089374166,1.5708048524974216,True,1.5828807737944504
5,标准区,1.263513471386633,0.4232106603249525,0.8608729809853903,True,1.3553606096392217
6,标准区,1.0825562409452911,-0.6305754606493417,1.0393870134508165,True,0.9773564596524003
7,标准区,0.8199366642258175,-0.14453401436177998,0.8159743190830973,True,0.7658934860162708
8,标准区,0.6439122061974519,0.27046004595963824,0.7758503757743812,True,0.751908356682014
9,标准区,0.6170494314222839,-0.605036375101836,1.1616212768008305,True,1.1837651095446553
10,标准区,0.46301682219630924,-0.41154640302960926,1.512075278416731,True,1.7447213681761768
11,标准区,0.6324105781871817,0.3336477752849056,0.9683637554146989,True,0.9699734689847277
12,标准区,1.1855355154849485,-0.10765437068758767,1.3707933521433824,True,0.7099647157609488
13,标准区,1.1933756710165697,-0.5858355840585372,1.3311151156297711,True,0.6960507371909881
14,标准区,0.6155690670498674,-0.033585166273749655,0.8613289653279936,False,13.108502900337376
15,标准区,0.9514303195520385,-0.669169335317716,1.1444826227407146,True,0.7593662955787445
16,宽方位角区,0.5948162679418246,-0.04017966728925957,1.5867087686081507,True,1.6552581577620114
17,宽方位角区,1.0482166548429912,-0.06520641434896489,1.6211167983673396,True,1.1273066512888774
18,宽方位角区,0.7265606481160742,-0.47579302888517333,0.8419696487002092,True,1.1759303271736006
19,宽方位角区,0.7221929870999894,-0.8050524100061192,1.3484830285854907,True,1.2302668162246497
20,宽方位角区,0.9303737700018152,-0.6064970747623771,1.4519308103973352,True,1.0884307877466894
