value,cdf
-0.14667774544261647,0.006756756756756757
4.893186103493876,0.013513513513513514
5.100699617778705,0.02027027027027027
5.965449790276271,0.02702702702702703
8.102911714763932,0.033783783783783786
8.144955162170886,0.04054054054054054
8.150030902973462,0.0472972972972973
8.196732166295712,0.05405405405405406
8.220964669202965,0.060810810810810814
8.23245529377836,0.06756756756756757
8.26592123466796,0.07432432432432433
8.332762463919195,0.08108108108108109
8.36267031382623,0.08783783783783784
8.366407379641732,0.0945945945945946
8.38527991329046,0.10135135135135136
8.406593511652957,0.10810810810810811
8.416200586219675,0.11486486486486487
8.417494057264594,0.12162162162162163
8.430309686523795,0.12837837837837837
8.43124878089686,0.13513513513513514
8.449087894031603,0.14189189189189189
8.456546980276354,0.14864864864864866
8.460768151230559,0.1554054054054054
8.469466561081724,0.16216216216216217
8.471041728904005,0.16891891891891891
8.47305505939757,0.17567567567567569
8.478938286498797,0.18243243243243243
8.479731576731844,0.1891891891891892
8.486922922869722,0.19594594594594594
8.488912129624673,0.20270270270270271
8.52308354964015,0.20945945945945946
8.55299880559237,0.21621621621621623
8.574221261255946,0.22297297297297297
8.591894116011812,0.22972972972972974
8.631250774898753,0.23648648648648649
8.63364846679174,0.24324324324324326
8.635090680126941,0.25
8.645036682114249,0.25675675675675674
8.64937174153929,0.2635135135135135
8.658734515021786,0.2702702702702703
8.66685145099179,0.27702702702702703
8.677120936914953,0.28378378378378377
8.682503104829934,0.2905405405405405
8.695682062912748,0.2972972972972973
8.718042466168079,0.30405405405405406
8.740011290997286,0.3108108108108108
8.744508603900837,0.31756756756756754
8.748766904957565,0.32432432432432434
8.755981096342929,0.3310810810810811
8.756691627483049,0.33783783783783783
8.762013904241515,0.34459459459459457
8.773283287651438,0.35135135135135137
8.777440300177291,0.3581081081081081
8.778878497836974,0.36486486486486486
8.782277071868792,0.3716216216216216
8.790050782244865,0.3783783783783784
8.792866612050277,0.38513513513513514
8.811396066927465,0.3918918918918919
8.817398162278774,0.39864864864864863
8.834972354993328,0.40540540540540543
8.844457016091347,0.41216216216216217
8.851835562116907,0.4189189189189189
8.859653105473823,0.42567567567567566
8.860128780824184,0.43243243243243246
8.871269675207301,0.4391891891891892
8.879902676495169,0.44594594594594594
8.882205872366292,0.4527027027027027
8.896009010497767,0.4594594594594595
8.898183935311101,0.46621621621621623
8.908761115276837,0.47297297297297297
8.927572621271146,0.4797297297297297
8.930173208008549,0.4864864864864865
8.955473962326787,0.49324324324324326
8.958753763827398,0.5
8.962837118910013,0.5067567567567568
8.963568114732615,0.5135135135135135
8.974394562161535,0.5202702702702703
8.981739951831893,0.527027027027027
8.985529293715896,0.5337837837837838
8.987813774795969,0.5405405405405406
8.98838642211458,0.5472972972972973
8.993283361012367,0.5540540540540541
8.995186427223672,0.5608108108108109
8.999405806535021,0.5675675675675675
8.999927745664804,0.5743243243243243
9.001469634643497,0.581081081081081
9.005425384807754,0.5878378378378378
9.005873732244861,0.5945945945945946
9.043390528373768,0.6013513513513513
9.047705465128576,0.6081081081081081
9.049202079016638,0.6148648648648649
9.049934133911266,0.6216216216216216
9.051060215722822,0.6283783783783784
9.069547685266514,0.6351351351351351
9.074793539614346,0.6418918918918919
9.079319598446165,0.6486486486486487
9.090377893180523,0.6554054054054054
9.091703734387112,0.6621621621621622
9.091924934406382,0.668918918918919
9.097032137818783,0.6756756756756757
9.097787704338153,0.6824324324324325
9.098418229003407,0.6891891891891891
9.099481568433099,0.6959459459459459
9.105978657100664,0.7027027027027027
9.10893104570393,0.7094594594594594
9.117713521693505,0.7162162162162162
9.132078040885524,0.722972972972973
9.138379685084653,0.7297297297297297
9.142331773233314,0.7364864864864865
9.14463929320966,0.7432432432432432
9.158242221526182,0.75
9.160392479460505,0.7567567567567568
9.166053785687296,0.7635135135135135
9.170723244092994,0.7702702702702703
9.183427704850722,0.777027027027027
9.184501973511848,0.7837837837837838
9.190262255903257,0.7905405405405406
9.195398092850017,0.7972972972972973
9.205493058831141,0.8040540540540541
9.205878746819032,0.8108108108108109
9.228041838753171,0.8175675675675675
9.230696272194468,0.8243243243243243
9.231465962448475,0.831081081081081
9.254723611327254,0.8378378378378378
9.258505169856749,0.8445945945945946
9.275648028087236,0.8513513513513513
9.288936678713394,0.8581081081081081
9.291595753938198,0.8648648648648649
9.296987836521994,0.8716216216216216
9.298753531906067,0.8783783783783784
9.298914095591076,0.8851351351351351
9.304881501994817,0.8918918918918919
9.306683636703317,0.8986486486486487
9.327674826964667,0.9054054054054054
9.343136276285808,0.9121621621621622
9.348807882940434,0.918918918918919
9.354757835192535,0.9256756756756757
9.366185201053023,0.9324324324324325
9.368692177608613,0.9391891891891891
9.377475856213746,0.9459459459459459
9.380863763803674,0.9527027027027027
9.380941489311493,0.9594594594594594
9.392241425094971,0.9662162162162162
9.394345118994083,0.972972972972973
9.401597564093526,0.9797297297297297
9.434394820594413,0.9864864864864865
9.436650811567521,0.9932432432432432
9.438254055766507,1.0
