target_id,method_cn,error_mm,tilt_deg,sim_success
0,本文方法,5.985430661159506,0.9252064603856541,True
0,优先级IK,21.271726727266977,1.2202298076082323,False
1,本文方法,5.023972319848288,1.3549633178857514,True
1,优先级IK,14.16117103202653,2.3577059871303883,True
2,本文方法,3.4047119003369986,1.4257787387440544,True
2,优先级IK,3.933453325183304,11.895344298828684,True
3,本文方法,3.860326677638898,1.3228790630850478,True
3,优先级IK,10.279166912367959,2.7579754912345984,True
4,本文方法,4.786894756175058,0.7685340375515248,True
4,优先级IK,10.458884383217722,6.120888671434294,True
5,本文方法,3.1151658259591732,0.6338147989469768,True
5,优先级IK,4.580812774258156,10.058520484305173,True
6,本文方法,6.451047427801674,0.794506941168858,True
6,优先级IK,18.699300783660828,3.077183788237456,True
7,本文方法,3.3986919368987354,1.614720086709539,True
7,优先级IK,6.64936368094636,2.9433914464434987,True
8,本文方法,5.599044313702532,0.6723251730353323,True
8,优先级IK,16.429884853298297,6.261421138719337,True
9,本文方法,3.803454047136786,1.5687512191031405,True
9,优先级IK,5.655939478706459,4.45894658127238,True
10,本文方法,4.252917012385998,0.9985303653565022,True
10,优先级IK,13.984683028303996,8.05772629850596,True
11,本文方法,3.5010868510890205,0.6225241437862543,True
11,优先级IK,8.663163698895339,8.865228790086032,True
12,本文方法,7.141968544631973,4.034550209723729,True
12,优先级IK,10.609101313393614,7.840655255256862,True
13,本文方法,5.250613559813929,1.0000722543351956,True
13,优先级IK,19.398293367741122,1.632241693413528,True
14,本文方法,5.332903705230417,1.0182600481681072,True
14,优先级IK,14.91454165683866,1.576012542510359,True
15,本文方法,5.0204419776951,0.9507979209833621,True
15,优先级IK,3.240635758955625,9.597932117449155,True
16,本文方法,3.3020284185442006,1.217722928131207,True
16,优先级IK,6.168822721175688,10.48931696247697,True
17,本文方法,4.312299011257394,1.5509121059683968,True
17,优先级IK,11.278022347030625,5.059820830306369,True
18,本文方法,5.202792226663469,0.6933163632966829,True
18,优先级IK,15.603780143975998,6.106777961002826,True
19,本文方法,2.0959397216077775,1.5202684232681554,True
19,优先级IK,12.68305609952754,11.808333735428237,True
20,本文方法,5.0981936196144,0.7243519719127646,True
20,优先级IK,4.846259743302775,6.354978943057992,True
21,本文方法,5.813624970701449,0.6452421648074645,True
21,优先级IK,10.899171351301314,5.831499716050528,True
22,本文方法,1.4530617900726628,1.8550448378291147,True
22,优先级IK,3.6892351020073306,14.29749065701021,True
23,本文方法,3.8921455991013856,0.8910689542960704,True
23,优先级IK,9.015475076998419,6.282564712520138,True
24,本文方法,4.060000819977181,1.5825059427354062,True
24,优先级IK,3.6676509781277744,13.053112734246447,True
25,本文方法,4.620092325039635,1.251233095042436,True
25,优先级IK,15.607366979222252,3.1383090340467428,True
26,本文方法,4.559260072327972,1.0412462361726018,True
26,优先级IK,7.368242835164156,3.3837008379145335,True
27,本文方法,2.7222979988229907,0.9096221068194763,True
27,优先级IK,6.072514669852212,9.021016014374998,True
28,本文方法,3.6018754221843237,1.6672375360808052,True
28,优先级IK,6.85333743006977,4.403031164318995,True
29,本文方法,3.9853973891324594,1.0067166389876325,True
29,优先级IK,9.654716407440853,5.107602567421999,True
30,本文方法,5.133117452557067,1.243308372516951,True
30,优先级IK,11.121137352454827,5.336147508965334,True
31,本文方法,4.603016985043966,1.1200973235048317,True
31,优先级IK,6.751983135911354,3.579183958332463,True
32,本文方法,2.1083386507889443,1.3687492251012476,True
32,优先级IK,14.578242879144895,9.545609313622931,True
33,本文方法,7.895638851851189,0.8616203149153479,True
33,优先级IK,13.746906878362559,2.9283955561815835,True
34,本文方法,4.536513038575832,1.5696903134762041,True
34,优先级IK,5.147565853775763,2.825376538562831,True
35,本文方法,4.398555048212406,0.8822864783064954,True
35,优先级IK,2.6916194008586305,9.677772210703454,True
36,本文方法,13.141912756323029,1.5837994137803246,True
36,优先级IK,19.040492208618033,4.698335606259219,True
37,本文方法,4.743429175044631,1.2379860957584847,True
37,优先级IK,16.97280558029521,3.9640856845787904,True
38,本文方法,4.459303740862237,1.5305334389182768,True
38,优先级IK,10.769731724209253,2.8510917426763833,True
39,本文方法,5.465148851657289,0.7452763886727464,True
39,优先级IK,12.975456370242313,5.553341422192594,True
40,本文方法,2.0627342748776147,1.539231848769441,True
40,优先级IK,17.885329663856812,12.53848709861379,True
41,本文方法,4.0264839573389635,1.1555429839086522,True
41,优先级IK,5.100337193504564,4.8749389877926195,True
42,本文方法,2.1894289199812658,1.2071333879497232,True
42,优先级IK,13.248455535183021,9.375771948333847,True
43,本文方法,4.23701185161156,1.3174968951700663,True
43,优先级IK,11.29064456858382,1.8771342915041445,True
44,本文方法,4.735910943266785,0.867921959114475,True
44,优先级IK,8.510765250684546,4.444987571239081,True
45,本文方法,nan,nan,False
45,优先级IK,21.147354894430986,25.34240124553148,False
46,本文方法,5.485640082838402,0.8046019071499828,True
46,优先级IK,20.719850603351876,5.715216904048042,False
47,本文方法,3.8720194465578386,1.1481644378830933,True
47,优先级IK,5.865886849199683,4.130402985748719,True
48,本文方法,3.8903371288634276,0.7414948301432515,True
48,优先级IK,8.873921744171204,7.334884095429669,True
49,本文方法,1.2034797167491618,1.8970882852360684,True
49,优先级IK,3.06237855501188,14.25332842959842,True
0,本文方法,2.08263000428793,1.8499690970265374,True
0,优先级IK,14.948008036297244,15.063242008602083,True
1,本文方法,4.886128496728726,1.1398712191758156,True
1,优先级IK,2.4884036865328296,10.594293298575355,True
2,本文方法,5.325691951910747,0.6511921170595653,True
2,优先级IK,6.191910883816925,7.020161778688093,True
3,本文方法,3.5027745605105545,1.5210617135012032,True
3,优先级IK,21.22332698121887,2.2696903678012132,False
4,本文方法,4.857184480931883,1.014470706284105,True
4,优先级IK,8.983615546695054,5.860510055540644,True
5,本文方法,3.0521023518072825,1.8032678337042873,True
5,优先级IK,12.38619217583262,6.462883836906731,True
6,本文方法,6.360293718364732,0.605654881005916,True
6,优先级IK,11.892582592247976,8.533601499060785,True
7,本文方法,7.889465597235579,0.8576682267666863,True
7,优先级IK,19.986274144203023,2.2876742425709513,True
8,本文方法,6.122685288897684,1.4081058839881884,True
8,优先级IK,14.801764239138242,11.45124630699922,True
9,本文方法,4.712582465680869,0.9005184315669019,True
9,优先级IK,5.775036980493189,7.903554849403481,True
10,本文方法,1.9042849780899962,1.1177941276337084,True
10,优先级IK,4.619731401096694,10.442344014610544,True
11,本文方法,2.3756792706577357,1.101816064688899,True
11,优先级IK,9.244542640492483,10.6057777141684,True
12,本文方法,4.384727424882703,0.7719581612468285,True
12,优先级IK,14.751030440577395,7.5779737511609255,True
