metric,left,right,center,count,median,log_scale
accel,0.5595873863732376,0.7946800570777326,0.6771337217254851,6,1.0647977721434683,false
accel,0.7946800570777326,1.0297727277822275,0.91222639242998,8,1.0647977721434683,false
accel,1.0297727277822275,1.2648653984867226,1.147319063134475,7,1.0647977721434683,false
accel,1.2648653984867226,1.4999580691912175,1.38241173383897,6,1.0647977721434683,false
accel,1.4999580691912175,1.7350507398957125,1.617504404543465,2,1.0647977721434683,false
accel,1.7350507398957125,1.9701434106002074,1.85259707524796,0,1.0647977721434683,false
accel,1.9701434106002074,2.2052360813047023,2.0876897459524546,0,1.0647977721434683,false
accel,2.2052360813047023,2.440328752009197,2.32278241665695,0,1.0647977721434683,false
accel,2.440328752009197,2.675421422713692,2.5578750873614444,0,1.0647977721434683,false
accel,2.675421422713692,2.910514093418187,2.7929677580659398,1,1.0647977721434683,false
max_jerk,0.5278610848775898,0.9664255721162341,0.747143328496912,11,1.1173579072327342,true
max_jerk,0.9664255721162341,1.7693639732066604,1.3678947726614472,17,1.1173579072327342,true
max_jerk,1.7693639732066604,3.2394102143078745,2.504387093757267,1,1.1173579072327342,true
max_jerk,3.2394102143078745,5.9308196026756805,4.585114908491778,0,1.1173579072327342,true
max_jerk,5.9308196026756805,10.858341127691189,8.394580365183435,0,1.1173579072327342,true
max_jerk,10.858341127691189,19.879810876749286,15.369076002220236,0,1.1173579072327342,true
max_jerk,19.879810876749286,36.39661674355155,28.13821381015042,0,1.1173579072327342,true
max_jerk,36.39661674355155,66.63613243556127,51.516374589556406,0,1.1173579072327342,true
max_jerk,66.63613243556127,121.9996401659054,94.31788630073333,1,1.1173579072327342,true
max_ang_vel,3.596271483453764e-05,0.00011532742568859608,7.564507026156685e-05,2,0.00045048575551153076,true
max_ang_vel,0.00011532742568859608,0.0003698390173587587,0.00024258322152367738,7,0.00045048575551153076,true
max_ang_vel,0.0003698390173587587,0.0011860223008031416,0.0007779306590809502,16,0.00045048575551153076,true
max_ang_vel,0.0011860223008031416,0.0038034085966594305,0.0024947154487312863,4,0.00045048575551153076,true
max_ang_vel,0.0038034085966594305,0.012197002487513885,0.008000205542086658,0,0.00045048575551153076,true
max_ang_vel,0.012197002487513885,0.03911409092651341,0.02565554670701365,0,0.00045048575551153076,true
max_ang_vel,0.03911409092651341,0.12543345060179636,0.08227377076415489,0,0.00045048575551153076,true
max_ang_vel,0.12543345060179636,0.4022476339647801,0.26384054228328824,0,0.00045048575551153076,true
max_ang_vel,0.4022476339647801,1.2899522276870707,0.8460999308259254,1,0.00045048575551153076,true
avg_ang_vel,1.4395567244875527e-05,3.823106566282647e-05,2.6313316453851e-05,2,0.00017804938062329645,true
avg_ang_vel,3.823106566282647e-05,0.00010153225342583471,6.988165954433059e-05,1,0.00017804938062329645,true
avg_ang_vel,0.00010153225342583471,0.00026964454971370536,0.00018558840156977004,18,0.00017804938062329645,true
avg_ang_vel,0.00026964454971370536,0.0007161092237888448,0.0004928768867512751,8,0.00017804938062329645,true
avg_ang_vel,0.0007161092237888448,0.0019018089590163811,0.001308959091402613,0,0.00017804938062329645,true
avg_ang_vel,0.0019018089590163811,0.005050734156807142,0.0034762715579117615,0,0.00017804938062329645,true
avg_ang_vel,0.005050734156807142,0.013413500552617084,0.009232117354712114,0,0.00017804938062329645,true
avg_ang_vel,0.013413500552617084,0.035622939455755835,0.02451822000418646,0,0.00017804938062329645,true
avg_ang_vel,0.035622939455755835,0.0946057153753838,0.06511432741556981,1,0.00017804938062329645,true
