time_s,tilt_deg
0.03000000000000002,0.08788857754860109
0.060000000000000046,0.1227487420797112
0.09000000000000007,0.1421117468661465
0.12000000000000009,0.1813468629687562
0.1500000000000001,0.2523856062667614
0.18000000000000013,0.32943998774992606
0.21000000000000016,0.37585150274835316
0.24000000000000019,0.37305841884267105
0.2700000000000002,0.3302553786658553
0.3000000000000002,0.27175601661778537
0.33000000000000024,0.21789564835651087
0.36000000000000026,0.17561570214547095
0.3900000000000003,0.14259027879245736
0.4200000000000003,0.1169439121489986
0.45000000000000034,0.10254879540868841
0.48000000000000037,0.10639136770315052
0.5100000000000003,0.13203345357624038
0.5400000000000004,0.17549770083010885
0.5700000000000004,0.22658486831316146
0.6000000000000004,0.2738132717851422
0.6300000000000004,0.3089769316064449
0.6600000000000005,0.3287126975132226
0.6900000000000005,0.33329175102865244
0.7200000000000005,0.3245988588763514
0.7500000000000006,0.30550494217906016
0.7800000000000006,0.28007666184106306
0.8100000000000006,0.25396250205007326
0.8400000000000006,0.23398503413797114
0.8700000000000007,0.22664819774928305
0.9000000000000007,0.23640317828937632
0.9300000000000007,0.2645786839866277
0.9600000000000007,0.30938496931246745
0.9900000000000008,0.366738217374448
1.0199999999999985,0.4313771840449956
1.0499999999999952,0.49782726613581674
1.0799999999999919,0.561189221369129
1.1099999999999886,0.6177876060506953
1.1399999999999852,0.6655950817277988
1.169999999999982,0.7044137232674182
1.1999999999999786,0.7357633869745552
1.2299999999999753,0.7624488637424109
1.259999999999972,0.7878555988751187
1.2899999999999687,0.8151251083425042
1.3199999999999654,0.8463588621618893
1.3499999999999621,0.8822864800787263
3.349999999999742,0.2725219407815325
