variant,total_targets,ik_reachable,ik_reachability_pct,sim_success,sim_success_of_reachable_pct,sim_success_of_total_pct,mean_final_error_m,max_final_error_m,mean_max_tilt_deg,max_max_tilt_deg,mean_plan_time_s,mean_plan_nfev
full_method,150,148,98.66666666666667,147,99.32432432432432,98.0,0.005111512514431716,0.03508277916974508,1.2289505827087372,10.146677745442616,0.1823584180002217,176.86
no_tilt_barrier,150,148,98.66666666666667,147,99.32432432432432,98.0,0.005111512401810778,0.03508278784371246,1.228951063126178,10.146661763021962,0.18241862533255093,176.86666666666667
position_only,150,45,30.0,45,100.0,30.0,0.005974013845516508,0.017700884824456253,27.07673244847305,43.83597782676984,0.3002225573335697,632.3466666666667
position_orientation,150,150,100.0,144,96.0,96.0,0.005492756968057452,0.02888655386803806,1.7913240744623242,23.180653090600515,0.19301183600056296,165.62
