target_id,target_x,target_y,target_z,variant,planned_success,planned_error_m,planned_max_tilt_deg,plan_nfev,plan_time_s,sim_success,final_error_m,max_tilt_deg,path_length_m
0,1.163854102370001,-0.11131059602498809,1.5585979199113824,position_orientation,True,4.8672391390532534e-14,4.00455336570039e-06,134,0.1316287000081502,True,0.005985188443277021,0.9251066324856365,0.2594296428903844
1,0.8931923924415376,-0.6554673166127,1.6756223516367559,position_orientation,True,9.134323525383203e-12,3.75174992073593e-05,155,0.17692880000686273,True,0.0049143297234659844,1.356295653667102,0.8656572467090466
2,1.0454165609056933,0.5001806527056398,0.8281136326755458,position_orientation,True,5.278838938396021e-10,6.156649318399953e-06,175,0.1808920999901602,True,0.0034051247035791167,1.4172467007760867,0.9831468765216457
3,0.8918808657802574,-0.18223759809041115,1.6267649888486018,position_orientation,True,3.281036023598381e-12,3.433189337798887e-05,156,0.22245840000687167,True,0.0038575234879658442,1.3233434219444555,0.5592197333578384
4,0.9329091444513473,0.5139082615586104,1.143414198827331,position_orientation,True,1.0057589959433166e-11,9.391510108767544e-06,170,0.191524699999718,True,0.004720327361452374,0.7611135027859988,0.8172000329712507
5,0.7291395053574977,0.06223838342847525,0.7638172561041753,position_orientation,True,1.515470449417489e-09,8.537736462515939e-07,176,0.1535957000014605,True,0.0031176667398033426,0.6202756999007244,1.0210152791948703
6,1.186626735201665,0.24721523222599218,1.4580877400853738,position_orientation,True,5.245372754521185e-14,1.3363671372914987e-05,134,0.13988899999822024,True,0.0064508213596023755,0.7927666438814087,0.34416980457262064
7,0.6188028765700346,0.5585755057582851,1.5931211213221976,position_orientation,True,6.291436062361303e-11,2.8508881502483375e-05,169,0.20594519999576733,True,0.0030978249358402416,1.6142779413046533,0.9833552673418884
8,1.0421473106672003,-0.5377454938395776,1.1667210037270341,position_orientation,True,1.0790419342233288e-11,5.7905745997743736e-06,170,0.15006839999114163,True,0.005556089015645782,0.6677662812839942,0.7692487402350667
9,0.5020043806895556,-0.3004445512826424,1.3830489532424546,position_orientation,True,5.365170784712768e-09,0.00015971957794171752,173,0.15564830000221264,True,0.005699376219792334,2.2233449577891764,1.0088022027541808
10,0.8543511494606293,0.7635208174585386,1.0258253581381518,position_orientation,True,4.235946965571005e-11,6.502146373618258e-06,173,0.152725099993404,True,0.0040725773197743355,1.0201749134887597,1.105585025962973
11,0.845413419629878,-0.040181379387507245,0.8894713590842857,position_orientation,True,3.0950236354957215e-10,2.699869328381916e-06,175,0.16697980000753887,True,0.0035029084082383653,0.611032806878607,0.849454583241622
12,0.6534675917073415,-0.02477849298380981,0.9269093490508841,position_orientation,True,4.2410431941250204e-08,3.305548712561364e-05,201,0.18253890000050887,False,0.0206699355648924,9.242874373766483,1.1279721290153026
13,1.0806365399599578,-0.106289641105831,1.5326781960578373,position_orientation,True,1.9272487656482427e-13,2.208288465562367e-05,134,0.11119889999099541,True,0.005250482032626514,0.999340962894289,0.3358624296624296
14,1.0629903130699898,-0.32034740587987487,1.5322598013952011,position_orientation,True,4.706720427829571e-14,9.88314448090898e-06,135,0.11355660000117496,True,0.0053320909912208895,1.0174988287675977,0.4757373902489417
15,1.1754667485376038,-0.20847970448428202,0.9883281039302441,position_orientation,True,7.438885211078511e-11,2.561320938754782e-06,174,0.13861950000864454,True,0.005014373305050891,0.9502715487814917,0.6568728903691066
16,0.9274304445739306,-0.58402130634152,0.8999082024751083,position_orientation,True,3.3997925633761375e-10,3.52019892386405e-06,175,0.14620249999279622,True,0.003247121481218999,1.223555559926419,1.0229681212825
17,0.5011277465754257,0.24059191366978283,1.364850856592032,position_orientation,True,1.575241641230209e-09,0.00015827775257668894,173,0.14846580001176335,True,0.010853007020329293,1.9536261039357605,1.0472456768092022
18,1.0089897747766317,0.4724726688008941,1.15891577553834,position_orientation,True,1.059225170273625e-11,6.445849674396954e-06,170,0.15256329999829177,True,0.005157583985763541,0.6862632165393098,0.7391609249978246
19,0.850460656816557,-0.535469433627178,0.8145300735359734,position_orientation,True,7.053341047586123e-10,8.748576518413899e-06,175,0.16542099999787752,True,0.002086151850912759,1.5202018264265373,1.0954252236677453
20,1.0836198813129583,-0.048893471652980795,1.2652361064811888,position_orientation,True,2.1416847869026287e-07,0.0003352026676209135,165,0.14353649999247864,True,0.005097881618743724,0.7191826889094134,0.41391756159619353
21,1.1364321171372742,0.24241270356069058,1.253579400657996,position_orientation,True,5.056587467312709e-12,9.468807791963592e-06,167,0.16206220000458416,True,0.005807694085516052,0.6399887809187897,0.46380855309433655
