target_id,target_x,target_y,target_z,variant,planned_success,planned_error_m,planned_max_tilt_deg,plan_nfev,plan_time_s,sim_success,final_error_m,max_tilt_deg,path_length_m
0,1.163854102370001,-0.11131059602498809,1.5585979199113824,full_method,True,9.966330659050455e-07,0.0004964912146840677,140,0.13925039999594446,True,0.0059854306611595055,0.9252064603856541,0.25943498137648424
1,0.8931923924415376,-0.6554673166127,1.6756223516367559,full_method,True,8.812041683549339e-07,0.0046182754474349535,176,0.1540042000124231,True,0.005023972319848288,1.3549633178857514,0.8678826600583126
2,1.0454165609056933,0.5001806527056398,0.8281136326755458,full_method,True,1.151117698182278e-06,0.022926095117644957,185,0.14700479999009985,True,0.0034047119003369985,1.4257787387440544,0.9835307813518793
3,0.8918808657802574,-0.18223759809041115,1.6267649888486018,full_method,True,1.3644403459672455e-06,0.004420146381390408,168,0.15040110000700224,True,0.003860326677638898,1.3228790630850478,0.5598263038806274
4,0.9329091444513473,0.5139082615586104,1.143414198827331,full_method,True,1.4308632939960335e-06,0.011028930137027564,183,0.1589055000076769,True,0.004786894756175058,0.7685340375515248,0.820357383513226
5,0.7291395053574977,0.06223838342847525,0.7638172561041753,full_method,True,3.6941676830104896e-06,0.01875132323027886,183,0.14879500000097323,True,0.003115165825959173,0.6338147989469768,1.0208469313667838
6,1.186626735201665,0.24721523222599218,1.4580877400853738,full_method,True,1.0118735599432658e-06,0.00300982687274103,153,0.11695460000191815,True,0.006451047427801674,0.794506941168858,0.34425222137610534
7,0.6188028765700346,0.5585755057582851,1.5931211213221976,full_method,True,1.4956465279077267e-06,0.005132745362455035,179,0.14407419999770354,True,0.0033986919368987354,1.614720086709539,0.9918101053216207
8,1.0421473106672003,-0.5377454938395776,1.1667210037270341,full_method,True,1.1846748214999801e-06,0.011078927836901804,182,0.14526669999759179,True,0.005599044313702532,0.6723251730353323,0.7716226816096112
9,0.5020043806895556,-0.3004445512826424,1.3830489532424546,full_method,True,2.6780529764614165e-06,0.00733280335021422,180,0.1435538999940036,True,0.0038034540471367857,1.5687512191031405,0.9931311885670508
10,0.8543511494606293,0.7635208174585386,1.0258253581381518,full_method,True,1.1256286073175105e-06,0.015514601825476971,185,0.18691960000433028,True,0.004252917012385998,0.9985303653565022,1.1094152310678147
11,0.845413419629878,-0.040181379387507245,0.8894713590842857,full_method,True,2.3578666736876434e-06,0.016612661082305996,182,0.18245930000557564,True,0.0035010868510890205,0.6225241437862543,0.8495157556254057
12,0.6534675917073415,-0.02477849298380981,0.9269093490508841,full_method,True,0.005193147849108767,2.6944776901528034,189,0.231580000006943,True,0.007141968544631973,4.034550209723729,1.006516714797406
13,1.0806365399599578,-0.106289641105831,1.5326781960578373,full_method,True,1.1863908284816945e-06,0.0009868814596077507,141,0.13879860000452027,True,0.005250613559813929,1.0000722543351956,0.3358691718152148
14,1.0629903130699898,-0.32034740587987487,1.5322598013952011,full_method,True,1.1223000053959404e-06,0.0010211139947877339,142,0.14979820000007749,True,0.005332903705230417,1.0182600481681072,0.4757538160489276
15,1.1754667485376038,-0.20847970448428202,0.9883281039302441,full_method,True,1.1720517684788622e-06,0.01658822841697401,182,0.17538709999644198,True,0.0050204419776951,0.9507979209833621,0.6570471736986928
16,0.9274304445739306,-0.58402130634152,0.8999082024751083,full_method,True,1.2196220087238313e-06,0.019691662020396152,184,0.1718892000062624,True,0.0033020284185442004,1.217722928131207,1.0238929782787904
17,0.5011277465754257,0.24059191366978283,1.364850856592032,full_method,True,0.002520870532212431,0.8059258125611075,189,0.19765250000637025,True,0.004312299011257394,1.5509121059683968,0.9746284860533375
18,1.0089897747766317,0.4724726688008941,1.15891577553834,full_method,True,1.3270327661143927e-06,0.011009288564365954,182,0.1725917000003392,True,0.005202792226663469,0.6933163632966829,0.7416010433279675
19,0.850460656816557,-0.535469433627178,0.8145300735359734,full_method,True,1.3245033078271078e-06,0.023674670642899378,185,0.19477229999029078,True,0.0020959397216077777,1.5202684232681554,1.0956403087312618
20,1.0836198813129583,-0.048893471652980795,1.2652361064811888,full_method,True,1.6344157950290697e-06,0.008209416495202055,173,0.1742272999981651,True,0.0050981936196144,0.7243519719127646,0.4139697705123004
21,1.1364321171372742,0.24241270356069058,1.253579400657996,full_method,True,1.2461823646475285e-06,0.008747259267055227,177,0.16616359999170527,True,0.005813624970701449,0.6452421648074645,0.4645145111668349
22,0.9510829899733705,-0.30029908884610973,0.7308178345679394,full_method,True,1.4380305465044273e-06,0.028570588942842215,185,0.18604929999855813,True,0.0014530617900726627,1.8550448378291147,1.0180174042001773
23,0.8116884829766453,-0.38734382541177387,1.108528643724636,full_method,True,2.05011763795395e-06,0.010998261492549486,181,0.1936384000000544,True,0.0038921455991013858,0.8910689542960704,0.8360225470558021
24,1.1280573998724275,-0.4970826516442884,0.758302741689066,full_method,True,1.0986586371812212e-06,0.02570477827912478,185,0.2037077999993926,True,0.004060000819977181,1.5825059427354062,1.018653749938984
25,0.7352715443470045,-0.24528920411256164,1.361916514726895,full_method,True,2.1752027388260425e-06,0.0048568307988293685,172,0.17481679999036714,True,0.004620092325039635,1.251233095042436,0.7466856852198348
26,0.8995684393683699,0.4266698969314954,1.3643135403273874,full_method,True,1.5218779363300847e-06,0.005129996626361011,172,0.1847325999988243,True,0.0045592600723279725,1.0412462361726018,0.6955172401800437
27,0.7721906498475132,0.4117501891827721,0.8669729199077039,full_method,True,1.8605760572785384e-06,0.01688666387260874,185,0.19113380000635516,True,0.0027222979988229907,0.9096221068194763,1.0299514643461372
28,0.45588747854774436,-0.33909197535689545,1.4223593505964502,full_method,True,2.5421597901412385e-06,0.008044933616180269,181,0.1728538000024855,True,0.0036018754221843236,1.6672375360808052,1.0463023265825888
29,0.7940879383886682,-0.46358157562036406,1.2010447751033635,full_method,True,1.874338387579964e-06,0.008734119724109698,180,0.18763179999950808,True,0.00398539738913246,1.0067166389876325,0.8504725306460992
30,0.6405870994530902,0.2025590369421352,1.1461562755740307,full_method,True,3.5160347294501683e-06,0.009266582437148688,181,0.19031029999314342,True,0.005133117452557067,1.243308372516951,0.8982256212333047
31,0.8141644340073257,-0.2604771490812935,1.3302825931188884,full_method,True,1.990051546619593e-06,0.005728015243880008,166,0.18816660001175478,True,0.004603016985043965,1.1200973235048317,0.6848794729209691
32,0.6716784060753331,-0.5035122340108307,0.8180059021205153,full_method,True,1.7561362181287118e-06,0.01916335223152108,197,0.18011359999945853,True,0.0021083386507889444,1.3687492251012476,1.1770855427835283
33,1.0604362324287449,0.7852407889800558,1.3997071338107494,full_method,True,7.375901763858109e-07,0.004651544449166491,175,0.1869390000065323,True,0.007895638851851189,0.8616203149153479,0.904263628603004
34,0.5673663907300336,0.5097063076463774,1.4787509039657944,full_method,True,1.8608764957270715e-06,0.0039859268264105935,179,0.17247089999727905,True,0.004536513038575832,1.5696903134762041,1.007822027341026
35,1.1200084042786584,-0.08866074963047785,0.972241561845159,full_method,True,1.3033151908919525e-06,0.016767888072872904,182,0.1779238000017358,True,0.004398555048212406,0.8822864783064954,0.6571571368240502
36,0.5074402638530563,0.3684763283715002,1.155776289833611,full_method,True,0.012372114111858118,1.3509493269331914,191,0.18980870000086725,True,0.013141912756323029,1.5837994137803246,1.0901954627995716
37,0.6795230281788104,-0.2122187816798992,1.279219568941896,full_method,True,2.654125109785218e-06,0.006535155989447925,174,0.17543079999450129,True,0.004743429175044631,1.2379860957584847,0.8129151867435261
38,0.5871558435825569,0.365112556724295,1.45851952983521,full_method,True,2.1194397769377932e-06,0.005229615250612745,179,0.18360770000435878,True,0.0044593037408622365,1.5305334389182768,0.9230813610544176
39,1.1192605843020214,-0.11901424475895461,1.3273088407024431,full_method,True,1.2992890842941676e-06,0.006633405927678488,171,0.1711823999939952,True,0.0054651488516572885,0.7452763886727464,0.36735419911782907
40,0.9896105977084164,0.23563988926051435,0.784444321139889,full_method,True,1.3657666620139742e-06,0.024281064236069454,184,0.18820019999111537,True,0.0020627342748776147,1.539231848769441,0.9282062129711967
41,0.6664325804155872,-0.5787326143554344,1.1939908192445188,full_method,True,1.9413640798186506e-06,0.008436289997126728,182,0.17864399999962188,True,0.004026483957338963,1.1555429839086522,1.0200591264662273
42,0.6919208315277459,-0.42855666856072044,0.8034029677225516,full_method,True,1.9465289844390236e-06,0.01772081513962939,194,0.18050719999882858,True,0.002189428919981266,1.2071333879497232,1.136692115648467
43,0.8883639342345084,-0.501443392141252,1.6251201183767972,full_method,True,1.1340062950036845e-06,0.003416102530000814,175,0.15800229999877047,True,0.00423701185161156,1.3174968951700663,0.7437461151578391
44,0.9860301029416242,-0.24013110959229692,1.2909154914814167,full_method,True,1.576559915975569e-06,0.007200801745791117,175,0.16982400001143105,True,0.004735910943266785,0.867921959114475,0.5415386835716418
45,0.428945218682672,0.37270124289721596,1.1823034369429002,full_method,False,0.08727405765668152,2.5260189676684828,167,0.17691359999298584,False,nan,nan,nan
46,0.9356739823669012,-0.7126940702210119,1.1866583308381604,full_method,True,1.1187971079752108e-06,0.010388317510170915,183,0.16861300000164192,True,0.005485640082838402,0.8046019071499828,0.9546920013484231
47,0.7311264468495655,0.5948815180407897,1.2717280523760754,full_method,True,1.6794646259527292e-06,0.006916436490005065,179,0.18305350000446197,True,0.0038720194465578384,1.1481644378830933,0.9585527489809761
48,0.8680966168569126,-0.3302452921635624,1.0315689973425521,full_method,True,1.9288105880440744e-06,0.013259704417972685,183,0.1864899000065634,True,0.0038903371288634275,0.7414948301432515,0.813752118937898
49,0.9621523233461767,-0.09196989344136862,0.7216120798803304,full_method,True,1.4982835698352021e-06,0.02877897378713392,184,0.1798514999973122,True,0.0012034797167491617,1.8970882852360684,0.9761380921687909
0,0.8116459008824606,-0.700050464434099,0.7200295868742168,full_method,True,1.318366371307627e-06,0.032155234876794114,194,0.19983559999673162,True,0.00208263000428793,1.8499690970265374,1.2806373990710447
1,1.2101016460281084,0.16552596298605743,0.9247052302036244,full_method,True,1.1155158365667534e-06,0.018733758567611346,182,0.185530300004757,True,0.004886128496728726,1.1398712191758156,0.6995885490797343
2,1.0740784420539402,-0.4149160593345692,1.119977909716268,full_method,True,1.2566192638301195e-06,0.012387059760846326,182,0.1653325999941444,True,0.005325691951910747,0.6511921170595653,0.6943363946623936
3,0.6905623932485773,0.5939073676174305,1.5919016691830428,full_method,True,1.3506917547385596e-06,0.003952942663163591,178,0.17960810000658967,True,0.0035027745605105544,1.5210617135012032,0.9556807684190212
4,0.7272360061625172,-0.26174821118731545,1.1219995748472629,full_method,True,2.8347073111865604e-06,0.010178590489754858,180,0.1720954000047641,True,0.0048571844809318825,1.014470706284105,0.8436632285258571
5,0.5288646695798718,-0.162484464106949,1.6517540164636144,full_method,True,1.8654818682672942e-06,0.011555648311420393,181,0.1757565000007162,True,0.0030521023518072826,1.8032678337042873,0.927160590985717
6,1.2187315747975127,0.06685352397284512,1.1854885459574875,full_method,True,1.1529245026767287e-06,0.010830645945714378,176,0.17085619999852497,True,0.006360293718364732,0.605654881005916,0.4112967399606049
7,1.292328534167099,0.18917632222674044,1.6428679185687103,full_method,True,5.799678078604458e-07,0.003253103801193259,151,0.21468010000535287,True,0.007889465597235579,0.8576682267666863,0.2509209143359216
8,1.0071223618835479,-0.8964552345270174,0.8185606020923468,full_method,True,8.202725691892495e-07,0.023753558218076076,185,0.2664769000111846,True,0.0061226852888976845,1.4081058839881884,1.2747708929200212
9,0.9673722695559618,-0.6382609332503806,1.0418428551185648,full_method,True,1.1605594862242538e-06,0.014762259207667834,184,0.20687700000416953,True,0.00471258246568087,0.9005184315669019,0.9519164861369647
10,0.7875120146284714,0.06284273511463725,0.7506197622984367,full_method,True,2.0189488481706153e-06,0.019957941801524215,184,0.20556190000206698,True,0.0019042849780899962,1.1177941276337084,1.01655566425401
11,0.9073750453571336,0.07863842579235604,0.8191705243218587,full_method,True,1.640055930369589e-06,0.019779341730251938,184,0.20097010000608861,True,0.0023756792706577357,1.101816064688899,0.8942111005979608
12,0.8231193174008749,0.00584484517660565,1.0039651105723884,full_method,True,2.7317150278953795e-06,0.01347255149633251,181,0.22705929999938235,True,0.004384727424882703,0.7719581612468285,0.7811769352859564
13,0.8764262362581584,-0.11751100900170008,0.7933138421568546,full_method,True,1.6507120372464407e-06,0.020561693684994026,184,0.22585859999526292,True,0.0020677329806937273,1.221121502163026,0.940185288836001
14,0.803299423823807,-0.6292219951263431,1.2805194318922803,full_method,True,1.459058179700547e-06,0.006966226891149604,179,0.1943382999888854,True,0.004368133921674143,1.0698267919914508,0.9310502011940671
15,0.6151497012863455,0.03759121533232992,1.5507689829291569,full_method,True,2.0526154178677856e-06,0.008494291113477671,177,0.17702360000112094,True,0.003587374448005425,1.593406488347042,0.8141997779270358
16,0.6213367214569149,-0.4732435808589368,1.0204800922364665,full_method,True,2.7915985909106026e-06,0.012009018885672455,184,0.18761560000712052,True,0.004522468923165653,1.0371628810899878,1.067543848132584
17,0.8760154472837429,0.1548675181014284,0.8515318303996794,full_method,True,1.8461983889366614e-06,0.018147192523198793,183,0.19614939999883063,True,0.002828347278994464,0.8154980264881522,0.8890241097768241
18,0.4758152280977827,0.28212747460088344,1.155089317954996,full_method,False,0.10447734990385285,0.08942344456856277,158,0.15176390000851825,False,nan,nan,nan
19,0.8994743759708098,0.4569837097486186,1.4632470379251716,full_method,True,1.3770434105582733e-06,0.0027508255654737066,165,0.1620958999992581,True,0.0045856630641295465,1.1403468945261768,0.700225538662377
20,1.1920391929992749,-0.33988226283771494,0.8937945534393459,full_method,True,1.0701043502952963e-06,0.0199056124966192,184,0.16815820000192616,True,0.004879476209319137,1.244018903657071,0.8004283371271989
21,0.5528148208803195,-0.09043345622406444,1.3065051385540762,full_method,True,9.461838760730896e-05,3.5788160128245945,213,0.21044569999503437,False,0.03508277916974508,10.146677745442616,1.2239601172582688
22,0.8330789462001225,0.558943655339548,1.527778323064191,full_method,True,1.2827151364739612e-06,0.0013758866279404104,165,0.15730380000604782,True,0.004327387519998335,1.2819575338319202,0.8205956773253337
23,0.7878264500552065,-0.525899997458739,1.200576601815097,full_method,True,1.7515889065058158e-06,0.008759421040047665,180,0.1655380000011064,True,0.003896207602037773,1.0116135778854194,0.8950535207902965
24,1.0652813535152248,0.7196626875218011,1.374075593306397,full_method,True,8.410594048469464e-07,0.005396858479987699,176,0.18515940000361297,True,0.0074200785359187236,0.8339462143127028,0.8448731691196744
25,0.9383194581767322,0.5289177447408662,1.3870384106747757,full_method,True,1.2939785022313448e-06,0.004670302765021217,172,0.18309079999744426,True,0.00492377779020337,1.0121862252040306,0.7391524128407456
26,1.0370557330956258,-0.1601868068083435,1.0995067625640724,full_method,True,1.5459208624437544e-06,0.01250305028502574,181,0.18863440000859555,True,0.004718859103341188,0.6077585749050287,0.5926138182462879
27,0.7774308491455221,0.5267473889548263,1.3415268388187773,full_method,True,1.6523539350589253e-06,0.005405679423083144,168,0.22650560000329278,True,0.004179915652361258,1.165027645006673,0.8603282366793715
28,1.2103613671338633,0.005062003999073585,1.236465432912854,full_method,True,1.1635890591057065e-06,0.009372493704336517,174,0.20161750000261236,True,0.00636002645844937,0.5617459442334941,0.3587449757347561
29,1.0583344864417439,0.3314895718207001,0.9194734570811661,full_method,True,1.2725997868151832e-06,0.01851773039888768,184,0.18486330000450835,True,0.003745251570168355,1.0724273787288547,0.8101605071881487
