method,targets,planned_success,sim_success,success_rate_percent,finite_sim_runs,mean_final_error_mm,max_final_error_mm,mean_max_tilt_deg,max_success_tilt_deg,max_observed_tilt_deg,tilt_violation_runs,median_rms_accel_rad_s2
本文方法,100,99,98,98.0,99,5.007965416001436,32.3523375330172,1.541688309010416,14.359292311634896,14.359292311634896,0,2.522963593595306
仅位置逆解,100,52,20,20.0,52,5.0666897867050835,12.20797001052674,31.424755906208247,44.00978524943569,83.47430954092886,32,68.60406639081215
关节空间插值,100,60,31,31.0,60,5.113048942167096,8.49309244939453,28.90332117924999,43.85944694652604,110.44580895801795,29,1.9760805054226662
