method,target_id,target_x,target_y,target_z,reachable,planned_success,sim_success,final_error_m,planned_error_m,max_tilt_deg,planned_max_tilt_deg,path_length_m,joint_path_length_rad,mean_joint_step_rad,max_joint_step_rad,rms_joint_speed_rad_s,max_joint_speed_rad_s,rms_joint_accel_rad_s2,max_joint_accel_rad_s2,message
position_only,0,1.163854102370001,-0.11131059602498809,1.5585979199113824,True,True,True,0.005272796160145673,1.7078361988222978e-07,9.376537215419663,8.876301644899899,0.472148391109887,0.6462886019647025,0.014688377317379602,0.12866021817640824,0.8068500119883921,4.288673939213609,30.007007975130897,141.44735559347978,ok
position_only,1,0.8931923924415376,-0.6554673166127,1.6756223516367559,True,True,True,0.006380604396858654,3.516373608352148e-07,41.983110116442305,41.474754410347856,1.1707452290309799,1.8813427896786639,0.042757790674515087,0.3679848096243807,2.3215837862940787,12.266160320812688,110.29446753098193,456.8921728470943,ok
position_only,2,1.0454165609056933,0.5001806527056398,0.8281136326755458,False,False,False,nan,0.561053917513012,nan,38.416458041467116,nan,0.8807864200499906,0.04635718000263109,0.1326220724946244,1.8977881809786992,4.420735749820813,57.051433338129115,190.21731747791648,"waypoint failed: err=0.0000 m, tilt=31.16 deg"
position_only,3,0.8918808657802574,-0.18223759809041115,1.6267649888486018,True,True,True,0.0025954042416905694,6.069271741551266e-07,25.145978992613696,25.21150554614,0.708650542489425,1.073210702287745,0.024391152324721478,0.13226544416004538,1.0273080640142718,4.408848138668179,36.06971526080599,145.02665572001112,ok
position_only,4,0.9329091444513473,0.5139082615586104,1.143414198827331,True,True,False,0.004294223440187408,7.902966657418604e-08,52.72739719719788,52.21555149308338,1.120713274124748,1.8743156320945953,0.042598082547604436,0.3011806802203692,2.0994274984914467,10.039356007345642,92.6822744521029,375.89990583638354,ok
position_only,5,0.7291395053574977,0.06223838342847525,0.7638172561041753,False,False,False,nan,0.27192097943960614,nan,62.89168562927763,nan,2.106426245375044,0.07263538777155325,0.2959200507435639,3.0504205242757814,9.864001691452131,103.54820227264273,265.2969222967524,"waypoint failed: err=0.0000 m, tilt=62.89 deg"
position_only,6,1.186626735201665,0.24721523222599218,1.4580877400853738,False,False,False,nan,0.06626077339664257,nan,24.94820907528539,nan,0.6912090094307825,0.02229706482034782,0.13642548527663836,1.2426011068450378,4.547516175887947,40.24890728515167,163.86535245421794,"waypoint failed: err=0.0000 m, tilt=14.61 deg"
position_only,7,0.6188028765700346,0.5585755057582851,1.5931211213221976,True,True,False,0.0034980671565038963,1.755355881037925e-07,59.64135610310767,59.52894469620746,1.139372146756561,1.6966995386175698,0.03856135315039932,0.13241762326035456,1.452718749433525,4.413920775345152,44.963885759958664,143.48098615404808,ok
position_only,8,1.0421473106672003,-0.5377454938395776,1.1667210037270341,False,False,False,nan,0.24352205842486208,nan,56.013436183045656,nan,1.453205430562818,0.053822423354178445,0.462250744815049,3.3010371426355753,15.408358160501633,112.19194748837388,552.253145406317,"waypoint failed: err=0.0000 m, tilt=21.99 deg"
position_only,9,0.5020043806895556,-0.3004445512826424,1.3830489532424546,True,True,False,0.0032434861369310787,9.418947966593079e-08,59.36601830234017,59.02785949802896,1.316920566104056,2.467923294425205,0.05608916578239102,0.23781497029874984,2.2072371928222845,7.9271656766249965,85.68730533555554,322.9155807167252,ok
