target_id,region,target_x,target_y,target_z,planned_success,planned_error_m,planned_max_tilt_deg,plan_nfev,sim_success,final_error_m,max_tilt_deg
0,standard,1.174992032690625,0.0939973113548712,0.9438881969534382,True,1.1902064398152667e-06,0.017972905094695655,182,True,0.0046070463717879494,1.0432841951409653
1,standard,0.7850773665983642,-0.22817115602658855,1.090154011165164,True,2.6132462292121052e-06,0.011204981232832279,181,True,0.004614301236579855,0.9089078794572353
2,standard,0.9565012814709913,-0.7097061894295601,1.0736243927644642,True,1.0859913441349762e-06,0.013992593478740867,184,True,0.005110124954141725,0.8961501368871617
3,standard,1.0880369678237969,0.46454552593912996,1.303975039380274,True,1.1454915010281425e-06,0.007305383543892176,178,True,0.0060956951960127615,0.748092324916781
4,standard,0.6390141414955137,-0.14198527089374166,1.5708048524974216,True,1.9295394324416373e-06,0.007880785616016088,178,True,0.0035858010453197497,1.5828807737944504
5,standard,1.263513471386633,0.4232106603249525,0.8608729809853903,True,9.3725442407989e-07,0.02085351924587954,183,True,0.005961894323952307,1.3553606096392217
6,standard,1.0825562409452911,-0.6305754606493417,1.0393870134508165,True,1.0053683169044425e-06,0.015274897993481673,185,True,0.005697814057660863,0.9773564596524003
7,standard,0.8199366642258175,-0.14453401436177998,0.8159743190830973,True,2.108782771099768e-06,0.018468547364056998,184,True,0.0026899727767078063,0.7658934860162708
8,standard,0.6439122061974519,0.27046004595963824,0.7758503757743812,True,5.142437290712226e-06,0.017671860342461376,186,True,0.0040862582306834695,0.751908356682014
9,standard,0.6170494314222839,-0.605036375101836,1.1616212768008305,True,2.0137324131572644e-06,0.008962635611339103,182,True,0.004178380724977277,1.1837651095446553
10,standard,0.46301682219630924,-0.41154640302960926,1.512075278416731,True,2.122678685278486e-06,0.00785233103096925,181,True,0.004354549799590239,1.7447213681761768
11,standard,0.6324105781871817,0.3336477752849056,0.9683637554146989,True,3.982523799493915e-06,0.013146096736613717,183,True,0.004782506954475363,0.9699734689847277
12,standard,1.1855355154849485,-0.10765437068758767,1.3707933521433824,True,1.1356387691721134e-06,0.005538687864112043,166,True,0.006113295640407276,0.7099647157609488
13,standard,1.1933756710165697,-0.5858355840585372,1.3311151156297711,True,8.192213000989978e-07,0.006658774762235914,178,True,0.007867083552682215,0.6960507371909881
14,standard,0.6155690670498674,-0.033585166273749655,0.8613289653279936,True,1.8482875376618567e-05,4.8371297158716065,217,False,0.03769557500945573,13.108502900337376
15,standard,0.9514303195520385,-0.669169335317716,1.1444826227407146,True,1.1610440113466369e-06,0.011566386338382601,183,True,0.005255626767082465,0.7593662955787445
16,wide_azimuth,0.5948162679418246,-0.04017966728925957,1.5867087686081507,True,1.9816418205493126e-06,0.009473404524507371,178,True,0.003311520227937087,1.6552581577620114
17,wide_azimuth,1.0482166548429912,-0.06520641434896489,1.6211167983673396,True,1.1336862111740296e-06,0.002793087568556704,142,True,0.004811513662964637,1.1273066512888774
18,wide_azimuth,0.7265606481160742,-0.47579302888517333,0.8419696487002092,True,1.7425253728976802e-06,0.01779213607768072,193,True,0.0023402989184506,1.1759303271736006
19,wide_azimuth,0.7221929870999894,-0.8050524100061192,1.3484830285854907,True,1.2044135209132262e-06,0.005217323643538366,177,True,0.0046378231671242035,1.2302668162246497
20,wide_azimuth,0.9303737700018152,-0.6064970747623771,1.4519308103973352,True,1.1482141575441512e-06,0.003036966348887921,171,True,0.005137643177445038,1.0884307877466894
21,wide_azimuth,0.2776469144416021,-0.5612448394998741,1.3760508229316057,True,2.3799342556079305e-06,0.006972655947019201,194,True,0.004354913395172319,1.8462868902486371
22,wide_azimuth,0.3894090545085073,0.7336604293052951,1.6358988151731175,True,1.3645971074655706e-06,0.007565648054144554,197,True,0.0026802232535620145,1.940317250007385
23,wide_azimuth,0.8118075999558753,0.6533894922165567,1.383911436520271,True,1.3277392167424046e-06,0.004535377724476811,174,True,0.00452256515488091,1.1582469978733416
24,wide_azimuth,0.9304295353628202,-0.4703806434911698,1.657500676604305,True,1.0542955667875916e-06,0.004156896754636284,174,True,0.004410104773670651,1.2996043018802226
25,wide_azimuth,0.7350622424413481,0.7644486005435496,0.730256177736884,True,1.3011977620947638e-06,0.032854852954696444,199,True,0.0018088281532878357,1.850485039536661
26,wide_azimuth,0.6400547461351587,-0.3014702259602813,1.5807880198263533,True,1.7998599876298587e-06,0.006879180747615059,179,True,0.0037721389501422066,1.588935048788297
27,wide_azimuth,0.8289766984746465,0.37597647881536606,1.2066586549070992,True,1.939716650025757e-06,0.008714487439744295,179,True,0.0043359739364194315,0.9688154496467452
28,wide_azimuth,0.8475836804886285,-0.09983076435828338,1.238115502402449,True,2.1867347475880515e-06,0.007964705771048049,173,True,0.004723297116566236,0.9857425064296169
29,wide_azimuth,0.7583153324276108,0.8135867211397979,1.6380212759628157,True,8.769140577603073e-07,0.0037220401896921134,177,True,0.005404041796501786,1.4680081883350429
30,wide_azimuth,0.5038033375257989,-0.9427458434981063,0.9831762869970745,True,1.0932552789293937e-06,0.019969653498759083,202,True,0.0030086598065924516,1.4695853951096622
31,wide_azimuth,0.4583370214922004,-0.5890954364870411,1.6680652598266286,True,1.5040002684961083e-06,0.00893335647084205,194,True,0.002794690364229169,1.8969459632197982
32,low_reach,1.0999131650378913,-0.08899073311391582,0.4270780747710096,True,2.0096505159273488e-06,0.04748920100224933,185,True,0.0022397729390102924,2.377216745694871
33,low_reach,0.7534962993622791,-0.2794080828128707,0.5335343416861656,True,4.928464700711867e-06,0.07654297088110025,191,True,0.0026596191380486916,4.8233948903936685
34,low_reach,0.7040999985009454,0.47324677258009346,0.5523662210508606,True,3.6962809855883076e-06,0.06770354535394317,201,True,0.0014672745271196099,3.9955463248693475
35,low_reach,0.5846188421869933,-0.09749545995030383,0.5638881060695574,True,9.76629679501449e-05,0.27482876972246845,193,True,0.011161992016513477,2.762742280345602
36,low_reach,0.6677415366024864,-0.35086064184632204,0.7457865700749059,True,2.171585003094693e-06,0.01881453242197833,194,True,0.0018770160129210748,1.289659992206254
37,low_reach,0.5777017709340907,0.1640486912515715,0.5908716844860125,True,2.2060144834299155e-05,0.06605171080506754,187,True,0.002018613743601324,0.7831874646771798
38,low_reach,1.0661489477739905,0.23262878303557058,0.42264939145136016,True,2.067762726823688e-06,0.04908381660407778,185,True,0.002261514792261595,2.370491652143128
39,low_reach,0.4995992909769095,-0.27029739874847486,0.636797022043578,True,1.3607409445819206e-05,3.1059792364138326,231,True,0.007030212419311899,8.104091519360544
40,low_reach,0.5966563909539309,-0.25905844345032514,0.5316944309032798,True,2.076189776655464e-05,0.1917542626439218,204,True,0.011004177349734313,9.771822272832907
41,low_reach,0.4791737681497371,0.2965759466266822,0.6474178061220293,True,1.0150060538313772e-05,3.4908920613165115,231,True,0.004653402431738086,8.69388130011581
42,low_reach,0.9080561790972749,0.32851496143055814,0.7498671912657022,True,1.4354526020243891e-06,0.027078803745270042,185,True,0.0013733975358584008,1.775708585144707
43,low_reach,0.5922701041964809,0.22207548934675886,0.6940068154272849,True,1.6482704432509966e-05,0.030842031153770818,187,True,0.0069955778081693875,1.5216992074486362
44,low_reach,0.8535697152905585,-0.23471381807882086,0.6755648757630761,True,1.8372380404721015e-06,0.03567748893530905,185,True,0.0007981521944437472,2.4342980805771264
45,low_reach,0.5454071961045304,0.3601557152967046,0.48863167317776907,True,1.6840678572904943e-05,0.22480339397713867,208,True,0.007733712974674378,12.813200008670373
46,low_reach,1.0564877334433267,0.21518297549721782,0.6188481385366138,True,1.612373387627144e-06,0.035610655486493385,185,True,0.0014766024816488758,2.1892270456521046
47,low_reach,0.8532772987226159,-0.5183372851905123,0.42727645284748156,True,2.5645508124389586e-06,0.060992487361353216,198,True,0.0022003868057915692,2.8944829334055484
48,high_reach,0.9755756245635581,0.10107793048400299,1.7039688811778833,True,1.1204315370580224e-06,0.005765252883249328,160,True,0.004004441257215122,1.2972962555054113
49,high_reach,1.0489717942063321,0.3923646118982238,1.8480869035841554,True,7.246267561631904e-07,0.010910313312157497,178,True,0.005027730701567238,1.3422756618879939
50,high_reach,0.5906994971691011,0.22275521576107638,1.7473093277717349,True,1.5353536343410833e-06,0.012056596422149731,180,True,0.002439510347645822,1.8155634032007575
51,high_reach,1.0403262212662168,0.2709923326307338,1.8058053008270054,True,8.08042632963508e-07,0.0089896646279867,177,True,0.004488233041434925,1.315283486939305
52,high_reach,0.9198352048714412,0.012812480815983206,1.7811851563261323,True,1.0814320186748905e-06,0.008760926216227245,159,True,0.0031529790904848156,1.4422043772090425
53,high_reach,0.8161682297334854,0.4271949280712762,1.6580633978564725,True,1.2650600521437336e-06,0.005264871046139898,176,True,0.0036641598434948314,1.438578073826128
54,high_reach,1.0060713292625683,0.45272879772096175,1.8333417342318452,True,7.425263930645033e-07,0.010283949079769148,179,True,0.004875450494508694,1.3776286911243385
55,high_reach,1.1292164091518675,-0.0691448545724172,1.8249621334801278,True,7.192570311728532e-07,0.009739364643812308,175,True,0.005056726112899144,1.2336480897134132
56,high_reach,0.8973931458456043,-0.1500393434154214,1.7069777521170604,True,1.2262595403036884e-06,0.006560886791815224,170,True,0.003468750257585968,1.3961556690622847
57,high_reach,1.0513642158799388,-0.40174414017618076,1.8630912233667278,True,7.282136919617283e-07,0.01163846969321951,179,True,0.004943276741422221,1.3574087969823627
58,high_reach,1.1888595127620827,-0.02492751353459543,1.7088581419825266,True,8.405216530248181e-07,0.005220856634658248,156,True,0.006071302946412505,1.0452590112388165
59,high_reach,0.927841021927545,0.10034134548368494,1.7528683651912977,True,1.1106490818448714e-06,0.00771997253235599,165,True,0.0034196578561052978,1.4038609705897713
60,high_reach,0.9701282564471218,0.33621581330286787,1.8370687803019683,True,8.356281712561054e-07,0.010413159798904878,177,True,0.0038740116377628192,1.4290099301380057
61,high_reach,0.5321520804094281,0.23652560613983212,1.7258952613398213,True,1.6498445400034032e-06,0.01254746451284979,182,True,0.0027471913069281443,1.8687389875680618
62,high_reach,1.1222319706786241,-0.2075395661922297,1.8233164299486844,True,7.079580784284199e-07,0.009733930565246393,177,True,0.005182180062056117,1.2391603198691368
63,high_reach,0.8075265658822245,0.10675901147864993,1.8397370345868402,True,1.1170277096711407e-06,0.01190643239181979,175,True,0.002179723013351598,1.636123931944053
64,far_reach,1.417863935385603,0.14993098412299352,1.2119105594621047,True,7.473899287550859e-07,0.009750123162152827,175,True,0.009157180637205673,0.7991242892135587
65,far_reach,1.2992173496386041,0.21607380703499726,1.369274168721458,True,8.775262085985079e-07,0.005538078227483637,169,True,0.007919651622772533,0.5865341192910615
66,far_reach,1.1378235757308668,-0.26968951824463233,0.9262331982642411,True,1.1854197175436052e-06,0.01858982795456165,184,True,0.004368113769887582,1.0998395441859976
67,far_reach,1.2612756855473422,-0.2546256715999837,1.0829348163037977,True,1.0212276881457713e-06,0.013856341250620853,182,True,0.006531415160783444,0.8579411572317986
68,far_reach,1.1526509005261196,0.5200618579164864,0.9971312366757186,True,1.010627723720389e-06,0.016560885223398464,184,True,0.005664597103445301,1.048350000906512
69,far_reach,1.3896057739323382,-0.14508146497999425,0.9500300538989003,True,8.539855435680014e-07,0.017501171885206238,181,True,0.007485376254947824,1.201796876811557
70,far_reach,1.2692477099821065,0.38399917773626796,0.9094191186474515,True,9.43653207052975e-07,0.019212115545392292,183,True,0.006108146822760546,1.2534057835655583
71,far_reach,1.3226990205140867,-0.6660159271297093,1.3105191977902448,True,4.978028794258532e-07,0.0067514699567794,177,True,0.010179723246159093,0.8154160474419453
72,far_reach,1.287856910216448,0.5947969126300737,1.2338008480605893,True,6.902940732906701e-07,0.009291326449157993,179,True,0.009031370849448736,0.8087448719032617
73,far_reach,1.3097140486625258,-0.3342383687941639,1.4202056809281074,True,7.561284986962101e-07,0.003917775257311748,167,True,0.00847758446411882,0.6089382125114419
