param,value,target_idx,ik_ok,sim_ok,final_error_m,max_tilt_deg
position_weight,3.0,0,True,True,0.00462877467313105,0.8313478137673248
position_weight,3.0,1,True,True,0.00787060643017041,0.6456119009031511
position_weight,3.0,2,True,True,0.004954051737958236,1.0010492909555837
position_weight,3.0,3,True,True,0.0030775848311204684,1.089796409762447
position_weight,3.0,4,True,True,0.004368957732821126,0.7826789285750084
position_weight,3.0,5,True,True,0.004212651825818982,1.0605788634444242
position_weight,3.0,6,True,True,0.004368364201164907,1.065073098140379
position_weight,3.0,7,True,True,0.005396446045308554,1.0228712150601558
position_weight,3.0,8,True,True,0.004690728336493878,0.9904461381453563
position_weight,3.0,9,True,True,0.004636784394831914,0.767575732378384
position_weight,3.0,10,True,True,0.004189735186103011,1.056516592984313
position_weight,3.0,11,False,False,nan,nan
position_weight,3.0,12,True,True,0.004809576408977088,1.049068898844985
position_weight,3.0,13,True,True,0.0062089235270541875,1.1932522791538975
position_weight,3.0,14,True,True,0.005431298078056751,0.9206765365274113
position_weight,3.0,15,True,True,0.004616278199413158,1.193698409242281
position_weight,3.0,16,True,True,0.004755880079861357,0.9902430916518876
position_weight,3.0,17,True,True,0.00535774526699742,0.680624789851836
position_weight,3.0,18,True,True,0.0032191128462734885,1.6823406436918373
position_weight,3.0,19,True,True,0.004386915174660575,1.41023166611213
position_weight,3.0,20,True,True,0.0027474552343686644,1.5995223474293139
position_weight,3.0,21,True,True,0.0049998957927032675,0.9511309677344206
position_weight,3.0,22,True,True,0.004393161600886894,1.30845854219515
position_weight,3.0,23,True,True,0.005109461248644142,0.9678487598183392
position_weight,3.0,24,True,True,0.008378433043263673,0.7886091952027026
position_weight,3.0,25,True,True,0.004804481292046546,0.9677158201014895
position_weight,3.0,26,True,True,0.0038853894746305453,1.6140946425362894
position_weight,3.0,27,True,True,0.003907116866769848,1.318978863235855
position_weight,3.0,28,True,True,0.004765449478698638,1.2383331876578358
position_weight,3.0,29,True,True,0.006478321451645518,0.7218456249740969
position_weight,7.5,0,True,True,0.004630890833094702,0.8313425012602272
position_weight,7.5,1,True,True,0.007870477747510896,0.6456312148944214
position_weight,7.5,2,True,True,0.0049566615577486565,1.001048642141573
position_weight,7.5,3,True,True,0.0030809354838213917,1.0900268891250682
position_weight,7.5,4,True,True,0.004373366916895051,0.782653856175539
position_weight,7.5,5,True,True,0.004218029363611419,1.0605743655604274
position_weight,7.5,6,True,True,0.004370070142969864,1.065114495084167
position_weight,7.5,7,True,True,0.005395330992087666,1.0228633434117342
position_weight,7.5,8,True,True,0.004692479101394533,0.9904906516584471
position_weight,7.5,9,True,True,0.004638543216392406,0.7675741649923162
position_weight,7.5,10,True,True,0.004196405849598928,1.0565126916766305
position_weight,7.5,11,True,False,0.039008337258086126,13.775523822588736
position_weight,7.5,12,True,True,0.004809703468803359,1.0490631623592122
position_weight,7.5,13,True,True,0.006210145817222096,1.193326148879791
position_weight,7.5,14,True,True,0.00543088155688052,0.9206728579081294
position_weight,7.5,15,True,True,0.00461557142983859,1.1936988776176771
position_weight,7.5,16,True,True,0.004756798535767938,0.9902495550655233
position_weight,7.5,17,True,True,0.005358688744789051,0.6806646487225364
position_weight,7.5,18,True,True,0.003223564582321731,1.6824041909782366
position_weight,7.5,19,True,True,0.0043920870816777135,1.4101632535332898
position_weight,7.5,20,True,True,0.0027528435538484086,1.5997826313291168
position_weight,7.5,21,True,True,0.005002797124427194,0.9511298173341819
position_weight,7.5,22,True,True,0.004395821647974221,1.3084105891726043
position_weight,7.5,23,True,True,0.005111628284170342,0.9678449666612602
position_weight,7.5,24,True,True,0.008377198363598388,0.7886269979863004
position_weight,7.5,25,True,True,0.004805288600166941,0.9677263286038442
position_weight,7.5,26,True,True,0.003889723134351573,1.6141381821616418
position_weight,7.5,27,True,True,0.003907945765971842,1.3189796839971446
position_weight,7.5,28,True,True,0.004771008222279053,1.2383165382542345
position_weight,7.5,29,True,True,0.006477660143899932,0.7218549689547958
position_weight,15.0,0,True,True,0.004631179013798035,0.8313433316504014
position_weight,15.0,1,True,True,0.007870428406553503,0.6456355415140231
position_weight,15.0,2,True,True,0.004957129213390184,1.001053195510411
position_weight,15.0,3,True,True,0.0030813903020456106,1.0900579452756933
position_weight,15.0,4,True,True,0.00437390122790192,0.7826535583343738
position_weight,15.0,5,True,True,0.004218760039302876,1.060581966601178
position_weight,15.0,6,True,True,0.004370273871075866,1.0651185739759703
position_weight,15.0,7,True,True,0.005395214285095719,1.0228542071130635
position_weight,15.0,8,True,True,0.004692785144739405,0.9904482623720381
position_weight,15.0,9,True,True,0.004638766419077726,0.7675739701702857
position_weight,15.0,10,True,True,0.004197436293557951,1.0565171638569226
position_weight,15.0,11,True,False,0.03305796600351774,14.70387509989473
position_weight,15.0,12,True,True,0.004809703746906328,1.0490724142631553
position_weight,15.0,13,True,True,0.006210330024374994,1.19333644419079
