param,value,ik_rate_pct,sim_rate_pct,mean_max_tilt
position_weight,3.0,96.66666666666667,96.66666666666667,1.0658696637958032
position_weight,7.5,100.0,96.66666666666667,1.4895470012696268
position_weight,15.0,100.0,96.66666666666667,1.5204969035768108
position_weight,30.0,100.0,96.66666666666667,1.5346066294106306
orientation_weight,0.1,100.0,100.0,1.9761500605208833
orientation_weight,0.45,100.0,96.66666666666667,1.446756343952323
orientation_weight,0.9,100.0,96.66666666666667,1.4895470012696268
orientation_weight,1.8,96.66666666666667,96.66666666666667,1.062973652025847
orientation_weight,3.6,96.66666666666667,96.66666666666667,1.0622420911871653
tilt_barrier_weight,5.0,100.0,96.66666666666667,1.4895470012696268
tilt_barrier_weight,10.0,100.0,96.66666666666667,1.4895470012696268
tilt_barrier_weight,18.0,100.0,96.66666666666667,1.4895470012696268
tilt_barrier_weight,36.0,100.0,96.66666666666667,1.4895470012696268
tilt_barrier_weight,72.0,100.0,96.66666666666667,1.4895470012696268
continuity_weight,0.01,100.0,96.66666666666667,1.6419418317603192
continuity_weight,0.04,100.0,96.66666666666667,1.6138302439788912
continuity_weight,0.08,100.0,96.66666666666667,1.4895470012696268
continuity_weight,0.16,100.0,100.0,1.3773719651440957
continuity_weight,0.32,100.0,100.0,1.427430207273997
limit_weight,0.005,100.0,96.66666666666667,1.4904585177650227
limit_weight,0.0125,100.0,96.66666666666667,1.490255652137028
limit_weight,0.025,100.0,96.66666666666667,1.4895470012696268
limit_weight,0.05,100.0,96.66666666666667,1.48679473760831
limit_weight,0.1,100.0,96.66666666666667,1.4762639708253338
