target_x,target_y,target_z,planned_success,planned_error_m,planned_max_tilt_deg,plan_nfev,conv_max_joint_displacement,conv_mean_joint_displacement,conv_total_joint_travel,conv_path_smoothness,sim_success,sim_final_error_m,sim_max_tilt_deg,sim_path_length_m,dyn_max_accel,dyn_max_jerk,dyn_max_ang_vel,dyn_avg_accel,dyn_avg_ang_vel,target_id
1.0181656682193654,0.6644641145266695,0.9183618988426229,True,1.0350823154557636e-06,0.019542027937271465,185,0.04254298674444508,0.02958982379718189,1.3019522470760032,0.012312566062504117,True,0.004461767887265389,1.226684087498199,1.030591156456382,1.4004220620341838,1.4672049400485774,0.0008040145802455284,0.7165058414207189,0.0003165911871282328,0
0.7340306813928462,-0.008310143988452284,1.4532229040143165,True,2.081287228765172e-06,0.0045986612822735045,174,0.03640263713259958,0.0250371456963424,1.1016344106390656,0.010717134619104732,True,0.0042907441939882265,1.3467311810312212,0.6892966211740518,0.9055938152361876,0.9541338731347228,0.00026278612653512996,0.46332078782850267,0.00012722173746149978,1
0.8533878250759593,0.7150926326056783,0.7677852769805612,True,1.1872216612270656e-06,0.028046506923153414,185,0.05316424798578201,0.03851776356633161,1.6947815969185909,0.015067841590292624,True,0.0024769323782438558,1.6562971910532198,1.2362381213460851,1.6812789579720777,1.7615041063348724,0.0013387161439200315,0.8602063687295404,0.00045417296585530554,2
0.9130707903504581,-0.23519610893197823,1.3019168927797105,True,1.7677390032945135e-06,0.006670929779694624,172,0.03281417093762276,0.0221705627847505,0.975504762529022,0.00970898249563375,True,0.0045934963785261235,0.9688817248283511,0.5946813502087875,0.8045067026259907,0.8432907642238171,0.0003466186805401895,0.41161497476539605,0.00011403044243605093,3
0.5657360066695618,-0.14421702189700727,0.7816998641687124,True,1.1579682781039658e-05,4.915290738194741,250,0.907508407912846,0.08827903811407321,3.884277677019221,0.1498928011437468,True,0.015213140984065447,10.849691514913726,1.7599655911584822,2.910514093418187,110.90876378718673,1.1726838433518825,0.9296651149801448,0.08600519579580344,4
1.3142848062307617,0.18319631885731003,1.2076770927409894,True,9.375841770909716e-07,0.010206065889470376,177,0.02036299599749984,0.013656565238129874,0.6008888704777144,0.006046911731603408,True,0.00764229130664497,0.6893029052190374,0.4133286897075247,0.5595873863732376,0.5865123165306553,0.00037458809977757485,0.28630374721930335,0.00016734739713517895,5
1.3073876969788034,-0.2681297597866536,1.1316208354577202,True,9.318011335883714e-07,0.012391881843907156,179,0.024314510718137134,0.01638802095109884,0.721072921848349,0.00719754700302183,True,0.0073801450782179385,0.8267600262365391,0.5289191979329984,0.7153287611766908,0.7499059954944937,0.000454709163661885,0.36598570107750406,0.00020139671195115036,6
0.7466460493002202,-0.616852642791888,0.7241335438799817,True,1.4714721881730384e-06,0.03319835293498714,197,0.05829924408116217,0.042757334935887695,1.8813227371790586,0.01602830554702169,True,0.0011911754948342836,2.1011516094694795,1.2660107375583243,1.7166506506700958,1.798894214483305,0.0020060901050778126,0.8783154691015319,0.0005360144832155822,7
0.7882223196506657,0.10910353759170198,1.282520546827279,True,2.324118359626125e-06,0.006851637509943834,169,0.039352002650303385,0.0272271891574126,1.1979963229261543,0.011513489103547407,True,0.004799521037166478,1.1046372570501939,0.6804911933095159,0.915939255208072,0.9621860778258067,0.00038744970056772145,0.4686268800477467,0.0001413179482926401,8
0.661579247859797,-0.2012513452750993,1.4702782997118795,True,2.121900744280265e-06,0.00561552006486375,177,0.0393342299105003,0.02712583110764022,1.1935365687361696,0.011566366431123591,True,0.0041829039366527284,1.4541546130818392,0.7922403822758103,1.0455614152488095,1.0972944773378548,0.00027931732341738956,0.5349432221292081,0.00013536194298524888,9
0.816026254758249,-0.04683159809454039,1.0244267380298482,True,2.7637773047044845e-06,0.012918410784064478,181,0.046786774040038136,0.032104893325529536,1.4126153063232996,0.013660753893004739,True,0.0045100083126865115,0.8025369263896013,0.7757154637445672,1.0840341290381272,1.1374213371276136,0.0006486527747006736,0.5546404834654663,0.0002226668305946756,10
1.17082498155127,-0.35017688053299406,1.2944433541991573,True,1.0924412701506314e-06,0.007712213296589345,177,0.02209064904589615,0.014704320348665196,0.6469900953412686,0.0065763237355880464,True,0.006539793857051199,0.6462079980214439,0.5010281517370859,0.6766635559274384,0.7090851037370395,0.00030641732653367143,0.3462023932254415,0.00012867102108752657,11
0.6978065620610183,0.3188430932221984,1.2968433147462592,True,2.3433633479155e-06,0.006210656018777702,170,0.042767261276770614,0.029558987312013008,1.3005954417285723,0.012557120098212866,True,0.004794604024405318,1.2281603669294165,0.8262345289664127,1.1117689829379913,1.1681014327103671,0.00038364722445141626,0.5688187095413938,0.00012305040379999361,12
0.5602926490897345,0.2134828916320376,1.5594858122076363,True,2.0518387660113335e-06,0.008941121111461347,181,0.04169416249053267,0.028760183164727147,1.2654480592479944,0.012224822356055499,True,0.0037260555387921323,1.669364286441333,0.8978982695240311,1.1838077849710102,1.2426698427162004,0.0003787987014969098,0.6056767323486512,0.00016581735989178853,13
0.9942516767613064,-0.562471192769634,1.192560184987594,True,1.2378618401760483e-06,0.010142951809393256,181,0.03322019907987823,0.02215254581616178,0.9747120159111183,0.009844078707773735,True,0.005419197958824237,0.746510198200452,0.8006566745345796,1.0877816752155363,1.139868285035329,0.0004462623473611765,0.5565445795195608,0.00016523889081794925,14
1.1542010339986553,0.665830247554453,1.520236505084019,True,6.427728348045733e-07,0.0011508349382089917,155,0.018558741480397434,0.012784343729255411,0.5625111240872381,0.0054525254625972805,True,0.008370136981045875,0.8787313205967218,0.7416938605472966,0.9983323099910267,1.0462340514534658,6.0427261644340345e-05,0.510776575834083,1.9637174768105067e-05,15
0.4964721945433152,-0.31525611737351467,1.3606064357340881,True,2.78010296360174e-06,0.007074341132186795,180,0.0509538376942436,0.035857331931039224,1.5777226049657258,0.014869173597253286,True,0.003779863327870223,1.5529689712122876,1.0072960755779525,1.3425468607839608,1.4068089851855674,0.00035959564228515663,0.686886736016071,0.00018875136411141395,16
0.6854637231503466,-0.36627393677498876,1.3279313665914343,True,2.212006422284244e-06,0.005507687706101775,171,0.042239202627039125,0.029085738875905234,1.2797725105398303,0.012430889447703486,True,0.004707957822115371,1.2767093505648381,0.850291130219607,1.1428648394831677,1.1990953168080538,0.00035310644814196066,0.58472787454136,0.00010802536695494547,17
1.2453994763126661,-0.4259754426075341,1.581087511276616,True,6.545325974645636e-07,0.0012726764193113102,140,0.011526734828512226,0.0078068414945646255,0.3435010257608435,0.0034118049931103375,True,0.008007775877645382,0.8447852399598422,0.47651663828723345,0.6328009868377541,0.6642604229369582,3.995857203837515e-05,0.32375939287234695,1.5995074716528363e-05,18
