target_id,target_x,target_y,target_z,reachable,planned_success,sim_success,final_error_m,planned_error_m,max_tilt_deg,planned_max_tilt_deg,path_length_m,message
0,1.163854102370001,-0.11131059602498809,1.5585979199113824,True,True,True,0.00598543066148596,9.96633050360369e-07,0.9252064599582238,0.0004964912146840677,0.2594349814177059,ok
1,0.8931923924415376,-0.6554673166127,1.6756223516367559,True,True,True,0.005023972316658442,8.812031768855119e-07,1.3549633191067878,0.0046182753685170275,0.867882660128868,ok
2,1.0454165609056933,0.5001806527056398,0.8281136326755458,True,True,True,0.0034047119109593318,1.1511179999053097e-06,1.4257787376644386,0.0229260974863537,0.9835307805036829,ok
3,0.8918808657802574,-0.18223759809041115,1.6267649888486018,True,True,True,0.0038603266797563283,1.3644402579081638e-06,1.3228790632622156,0.004420146216479703,0.5598263038650678,ok
4,0.9329091444513473,0.5139082615586104,1.143414198827331,True,True,True,0.004786894751209915,1.4308632043836916e-06,0.7685340370037684,0.011028927493327689,0.8203573834634297,ok
5,0.7291395053574977,0.06223838342847525,0.7638172561041753,True,True,True,0.003115165827571935,3.6941668501911003e-06,0.6338148027739026,0.018751321791959527,1.020846931652301,ok
6,1.186626735201665,0.24721523222599218,1.4580877400853738,True,True,True,0.0064510474289832765,1.011873709002471e-06,0.7945069416363195,0.0030098263883746334,0.34425222140085926,ok
7,0.6188028765700346,0.5585755057582851,1.5931211213221976,True,True,True,0.0033986919391138224,1.4956484981158183e-06,1.6147200873301086,0.005132745575478293,0.9918101051414097,ok
8,1.0421473106672003,-0.5377454938395776,1.1667210037270341,True,True,True,0.005599044321402616,1.1846752240143847e-06,0.6723251729675689,0.011078928560638229,0.7716226818738516,ok
9,0.5020043806895556,-0.3004445512826424,1.3830489532424546,True,True,True,0.0038034540367930412,2.678053934686371e-06,1.5687512120708573,0.007332802704070945,0.9931311884292204,ok
10,0.8543511494606293,0.7635208174585386,1.0258253581381518,True,True,True,0.004252917007158679,1.1256289955321475e-06,0.9985303633762707,0.01551460391624015,1.109415231204304,ok
